"","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","EV.1","PP.1","SH.1","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%"
"2","Nikita Kucherov",26,"RW",68,33,52,85,26,38,29,4,0,6,31,21,0,210,15.7,1283,18M 52S,8.3,2.1,10.5,19,37,0,1,0
"3","Steven Stamkos",29,"C",57,29,37,66,14,22,19,10,0,6,28,9,0,176,16.5,1050,18M 25S,6.7,1.5,8.1,38,69,365,307,54.3
"4","Brayden Point",23,"C",66,25,39,64,28,11,17,8,0,4,34,5,0,141,17.7,1248,18M 54S,5.5,2.2,7.7,30,24,397,380,51.1
"5","Victor Hedman",29,"D",66,11,44,55,27,31,7,4,0,3,26,18,0,155,7.1,1588,24M 4S,4.7,4.8,9.5,98,73,0,0,NA
"6","Alex Killorn",30,"C",68,26,23,49,19,20,18,8,0,7,18,5,0,130,20,1219,17M 56S,4.2,1.8,6,15,59,5,14,26.3
"7","Anthony Cirelli",22,"C",68,16,28,44,28,30,14,1,1,3,23,4,1,113,14.2,1255,18M 28S,2.5,2.2,4.7,47,89,434,480,47.5
"8","Ondrej Palat",28,"LW",69,17,24,41,25,22,12,4,1,2,20,4,0,128,13.3,1117,16M 11S,2.7,1.9,4.7,61,145,7,14,33.3
"9","Mikhail Sergachev",21,"D",70,10,24,34,15,58,4,5,1,0,16,8,0,118,8.5,1426,20M 22S,2.7,3.6,6.3,99,106,0,0,NA
"10","Kevin Shattenkirk",31,"D",70,8,26,34,22,38,7,1,0,0,20,6,0,131,6.1,1323,18M 54S,2.6,4,6.6,66,62,0,0,NA
"11","Tyler Johnson",29,"C",65,14,17,31,9,16,13,1,0,2,11,6,0,113,12.4,945,14M 33S,1.9,1.2,3.1,22,62,173,180,49
"12","Yanni Gourde",28,"C",70,10,20,30,-5,49,7,1,2,5,14,5,1,110,9.1,985,14M 4S,1.3,0.7,2,20,78,93,79,54.1
"13","Pat Maroon",31,"LW",64,9,14,23,4,71,8,1,0,1,12,2,0,80,11.3,794,12M 25S,1,0.9,1.9,13,104,6,3,66.7
"14","Cedric Paquette",26,"C",61,7,11,18,-1,42,6,0,1,0,10,0,1,78,9,796,13M 3S,0.3,0.7,1,49,175,316,305,50.9
"15","Carter Verhaeghe",24,"C",52,9,4,13,-9,8,8,1,0,1,4,0,0,57,15.8,487,9M 22S,0.9,0.1,0.9,8,29,14,17,45.2
"16","Erik Cernak",22,"D",67,5,7,12,11,59,5,0,0,1,7,0,0,125,4,1270,18M 57S,0.1,3.1,3.2,97,172,0,0,NA
"17","Ryan McDonagh",30,"D",50,1,11,12,7,19,1,0,0,0,10,0,1,50,2,1035,20M 42S,0,2.3,2.4,101,36,0,0,NA
"18","Mathieu Joseph",22,"RW",37,4,3,7,-2,16,4,0,0,0,2,0,1,35,11.4,426,11M 31S,-0.1,0.3,0.2,10,47,4,10,28.6
"19","Jan Rutta",29,"D",33,1,6,7,6,14,1,0,0,0,6,0,0,43,2.3,513,15M 33S,0.2,1.4,1.5,21,19,0,0,NA
"20","Mitchell Stephens",22,"C",38,3,3,6,-9,10,3,0,0,0,3,0,0,43,7,410,10M 47S,-0.2,0,-0.2,9,36,187,169,52.5
"21","Braydon Coburn",34,"D",40,1,3,4,5,16,1,0,0,0,3,0,0,44,2.3,562,14M 3S,-0.2,1.4,1.2,28,59,0,0,NA
"22","Cameron Gaunce",29,"D",3,1,3,4,2,4,1,0,0,0,3,0,0,5,20,36,11M 52S,0.5,0.2,0.7,2,5,0,0,NA
"23","Andrei Vasilevskiy",25,"G",52,0,4,4,0,4,0,0,0,0,3,1,0,0,NA,3122,60M 2S,0,0,10.4,0,1,0,0,NA
"24","Luke Schenn",30,"D",25,1,2,3,-8,23,1,0,0,0,2,0,0,31,3.2,311,12M 27S,0,-0.1,-0.1,21,83,0,0,NA
"25","Luke Witkowski",29,"D",12,1,2,3,-4,13,1,0,0,0,2,0,0,10,10,106,8M 48S,0.3,-0.1,0.2,3,38,0,0,NA
"26","Zach Bogosian",29,"D",8,0,2,2,0,12,0,0,0,0,1,0,1,11,0,129,16M 10S,0,0.2,0.3,6,8,0,0,NA
"27","Barclay Goodrow",26,"RW",8,0,2,2,0,17,0,0,0,0,2,0,0,8,0,100,12M 27S,-0.1,0.1,0,3,22,21,22,48.8
"28","Gemel Smith",25,"C",3,1,0,1,0,4,1,0,0,0,0,0,0,1,100,28,9M 10S,0.1,0,0.1,2,1,13,7,65
"29","Blake Coleman",28,"C",9,0,1,1,2,16,0,0,0,0,1,0,0,18,0,132,14M 42S,-0.3,0.2,-0.1,6,25,1,4,20
"30","Cory Conacher",30,"LW",4,0,1,1,-2,4,0,0,0,0,1,0,0,5,0,44,11M 5S,0,0,-0.1,1,3,0,0,NA
"31","Alexander Volkov",22,"RW",9,0,1,1,-6,6,0,0,0,0,1,0,0,7,0,92,10M 16S,-0.2,-0.1,-0.3,2,10,1,3,25
"32","Curtis McElhinney",36,"G",18,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1081,60M 3S,0,0,2.9,0,0,0,0,NA
